epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1376,1.90966,14.2327,1.67656,0.00035,0.15,0.00106,0.00042,1.7466,11.817,1.59467,3.335e-05,3.335e-05,3.335e-05
2,150.537,1.28863,8.46499,1.29982,0.3,0.06424,0.07323,0.05126,1.15435,14.5347,1.21038,6.61064e-05,6.61064e-05,6.61064e-05
3,217.62,1.14218,6.02991,1.16095,0.29738,0.06667,0.09125,0.0503,1.1905,21.6852,1.1417,9.09388e-05,9.09388e-05,9.09388e-05
4,281.251,1.03968,5.07553,1.05953,0.59756,0.06667,0.0863,0.05659,1.12673,17.5872,1.10477,0.000107847,0.000107847,0.000107847
5,342.914,0.98276,4.25629,1.05846,0.69866,0.1,0.0995,0.06965,0.96748,10.7012,1.04754,0.000116832,0.000116832,0.000116832
6,404.953,0.98589,3.97243,1.10586,0.56586,0.125,0.13303,0.11026,0.89246,7.86255,1.03101,0.000117892,0.000117892,0.000117892
7,466.62,0.96453,3.55886,1.0418,0.46391,0.175,0.18504,0.14246,0.88789,6.51704,1.02531,0.000111029,0.000111029,0.000111029
8,528.188,0.92134,3.10679,0.98669,0.75473,0.29365,0.31557,0.25201,0.88455,4.96633,1.01104,9.62414e-05,9.62414e-05,9.62414e-05
9,589.841,0.91379,2.86528,1.03835,0.82064,0.36327,0.46627,0.36007,0.87552,4.09038,1.01299,7.35301e-05,7.35301e-05,7.35301e-05
10,652.207,0.86591,2.77045,1.00141,0.89977,0.47449,0.57987,0.46321,0.87444,3.68802,1.01498,4.28948e-05,4.28948e-05,4.28948e-05
